"metric","name","type","level","function_name"
"area","patch area","area and edge metric","patch","lsm_p_area"
"ca","total (class) area","area and edge metric","class","lsm_c_ca"
"clumpy","clumpiness index","aggregation metric","class","lsm_c_clumpy"
"contig_mn","contiguity index","shape metric","landscape","lsm_l_contig_mn"
"core_mn","core area","core area metric","landscape","lsm_l_core_mn"
"division","division index","aggregation metric","landscape","lsm_l_division"
"ed","edge density","area and edge metric","landscape","lsm_l_ed"
"mesh","effective mesh size","aggregation metric","landscape","lsm_l_mesh"
"pr","patch richness","diversity metric","landscape","lsm_l_pr"
"shape_mn","shape index","shape metric","landscape","lsm_l_shape_mn"
"shdi","shannon's diversity index","diversity metric","landscape","lsm_l_shdi"
"shei","shannon's evenness index","diversity metric","landscape","lsm_l_shei"
"te","total edge","area and edge metric","landscape","lsm_l_te"
